RaterID,CaseID,Series,CaseType,TOC,TOC_capped,NabN,CaseCert,Accuracy,Sequence,posttest_score,posttest_nabn_score,phases_completed,cases_completed
76,D0167,P0,Abnormal,52.139,52.139,Normal,Probably,0,8,0.6,0.6,2,100
76,D0114,P0,Normal,15.64,15.64,Normal,Probably,1,9,0.6,0.6,2,100
76,D0177,P0,Abnormal,56.973,56.973,Abnormal,Probably,1,10,0.6,0.6,2,100
76,D0330,P0,Abnormal,22.249,22.249,Normal,Probably,0,11,0.6,0.6,2,100
76,D0321,P0,Abnormal,13.985,13.985,Normal,Probably,0,12,0.6,0.6,2,100
76,D0411,P0,Abnormal,16.762,16.762,Normal,Probably,0,13,0.6,0.6,2,100
76,D0093,P0,Normal,14.228,14.228,Normal,Probably,1,14,0.6,0.6,2,100
76,D0042,P0,Normal,21.723,21.723,Normal,Probably,1,15,0.6,0.6,2,100
76,D0337,P0,Abnormal,18.323,18.323,Normal,Probably,0,16,0.6,0.6,2,100
76,D0024,P0,Normal,20.542,20.542,Normal,Probably,1,17,0.6,0.6,2,100
76,D0384,P0,Abnormal,39.494,39.494,Abnormal,Definitely,1,18,0.6,0.6,2,100
76,D0373,P0,Abnormal,23.384,23.384,Abnormal,Probably,1,19,0.6,0.6,2,100
76,D0284,P0,Abnormal,18.535,18.535,Normal,Probably,0,20,0.6,0.6,2,100
54,D0115,P0,Normal,47.793,47.793,Normal,Definitely,1,1,0.65,0.75,2,100
54,D0018,P0,Normal,117.752,117.752,Normal,Definitely,1,2,0.65,0.75,2,100
54,D0029,P0,Normal,68.286,68.286,Normal,Definitely,1,3,0.65,0.75,2,100
54,D0172,P0,Abnormal,113.239,113.239,Abnormal,Probably,1,4,0.65,0.75,2,100
54,D0118,P0,Normal,83.33,83.33,Abnormal,Definitely,0,5,0.65,0.75,2,100
54,D0286,P0,Abnormal,118.377,118.377,Normal,Definitely,0,6,0.65,0.75,2,100
54,D0226,P0,Abnormal,24.341,24.341,Abnormal,Definitely,1,7,0.65,0.75,2,100
54,D0167,P0,Abnormal,46.397,46.397,Abnormal,Definitely,0,8,0.65,0.75,2,100
54,D0114,P0,Normal,67.107,67.107,Normal,Definitely,1,9,0.65,0.75,2,100
54,D0177,P0,Abnormal,43.433,43.433,Abnormal,Definitely,1,10,0.65,0.75,2,100
54,D0330,P0,Abnormal,74.169,74.169,Abnormal,Definitely,1,11,0.65,0.75,2,100
54,D0321,P0,Abnormal,116.586,116.586,Normal,Definitely,0,12,0.65,0.75,2,100
54,D0411,P0,Abnormal,73.511,73.511,Normal,Definitely,0,13,0.65,0.75,2,100
54,D0093,P0,Normal,46.24,46.24,Normal,Definitely,1,14,0.65,0.75,2,100
54,D0042,P0,Normal,101.866,101.866,Normal,Definitely,1,15,0.65,0.75,2,100
54,D0337,P0,Abnormal,77.394,77.394,Abnormal,Definitely,0,16,0.65,0.75,2,100
54,D0024,P0,Normal,78.206,78.206,Abnormal,Probably,0,17,0.65,0.75,2,100
54,D0384,P0,Abnormal,33.495,33.495,Abnormal,Definitely,1,18,0.65,0.75,2,100
54,D0373,P0,Abnormal,134.029,134.029,Abnormal,Definitely,1,19,0.65,0.75,2,100
54,D0284,P0,Abnormal,44.842,44.842,Abnormal,Definitely,1,20,0.65,0.75,2,100
57,D0115,P0,Normal,20.991,20.991,Normal,Probably,1,1,0.7,0.9,2,100
57,D0018,P0,Normal,71.329,71.329,Abnormal,Probably,0,2,0.7,0.9,2,100
57,D0029,P0,Normal,56.418,56.418,Normal,Probably,1,3,0.7,0.9,2,100
57,D0172,P0,Abnormal,43.751,43.751,Abnormal,Probably,1,4,0.7,0.9,2,100
57,D0118,P0,Normal,219.141,219.141,Normal,Probably,1,5,0.7,0.9,2,100
57,D0286,P0,Abnormal,85.945,85.945,Abnormal,Probably,1,6,0.7,0.9,2,100
57,D0226,P0,Abnormal,19.699,19.699,Abnormal,Probably,1,7,0.7,0.9,2,100
57,D0167,P0,Abnormal,22.927,22.927,Abnormal,Definitely,0,8,0.7,0.9,2,100
57,D0114,P0,Normal,33.728,33.728,Abnormal,Probably,0,9,0.7,0.9,2,100
57,D0177,P0,Abnormal,66.176,66.176,Abnormal,Probably,0,10,0.7,0.9,2,100
57,D0330,P0,Abnormal,96.293,96.293,Abnormal,Probably,0,11,0.7,0.9,2,100
57,D0321,P0,Abnormal,39.63,39.63,Abnormal,Probably,1,12,0.7,0.9,2,100
57,D0411,P0,Abnormal,56.306,56.306,Abnormal,Probably,1,13,0.7,0.9,2,100
57,D0093,P0,Normal,44.286,44.286,Normal,Probably,1,14,0.7,0.9,2,100
57,D0042,P0,Normal,32.916,32.916,Normal,Probably,1,15,0.7,0.9,2,100
57,D0337,P0,Abnormal,90.55,90.55,Abnormal,Probably,0,16,0.7,0.9,2,100
57,D0024,P0,Normal,88.824,88.824,Normal,Probably,1,17,0.7,0.9,2,100
57,D0384,P0,Abnormal,39.378,39.378,Abnormal,Probably,1,18,0.7,0.9,2,100
57,D0373,P0,Abnormal,40.204,40.204,Abnormal,Probably,1,19,0.7,0.9,2,100
57,D0284,P0,Abnormal,31.898,31.898,Abnormal,Probably,1,20,0.7,0.9,2,100
71,D0115,P0,Normal,28.61,28.61,Normal,Definitely,1,1,0.85,0.9,2,100
71,D0018,P0,Normal,44.401,44.401,Normal,Probably,1,2,0.85,0.9,2,100
71,D0029,P0,Normal,20.964,20.964,Normal,Definitely,1,3,0.85,0.9,2,100
71,D0172,P0,Abnormal,15.745,15.745,Abnormal,Definitely,1,4,0.85,0.9,2,100
71,D0118,P0,Normal,37.213,37.213,Normal,Probably,1,5,0.85,0.9,2,100
71,D0286,P0,Abnormal,23.436,23.436,Abnormal,Definitely,1,6,0.85,0.9,2,100
71,D0226,P0,Abnormal,9.439,9.439,Abnormal,Definitely,1,7,0.85,0.9,2,100
71,D0167,P0,Abnormal,42.913,42.913,Abnormal,Definitely,0,8,0.85,0.9,2,100
71,D0114,P0,Normal,21.132,21.132,Normal,Definitely,1,9,0.85,0.9,2,100
71,D0177,P0,Abnormal,28.336,28.336,Abnormal,Definitely,1,10,0.85,0.9,2,100
71,D0330,P0,Abnormal,49.678,49.678,Abnormal,Definitely,1,11,0.85,0.9,2,100
71,D0321,P0,Abnormal,24.869,24.869,Abnormal,Probably,1,12,0.85,0.9,2,100
71,D0411,P0,Abnormal,18.685,18.685,Normal,Definitely,0,13,0.85,0.9,2,100
71,D0093,P0,Normal,37.234,37.234,Normal,Definitely,1,14,0.85,0.9,2,100
71,D0042,P0,Normal,11.644,11.644,Normal,Definitely,1,15,0.85,0.9,2,100
71,D0337,P0,Abnormal,47.592,47.592,Normal,Definitely,0,16,0.85,0.9,2,100
71,D0024,P0,Normal,32.477,32.477,Normal,Definitely,1,17,0.85,0.9,2,100
71,D0384,P0,Abnormal,19.424,19.424,Abnormal,Definitely,1,18,0.85,0.9,2,100
71,D0373,P0,Abnormal,17.853,17.853,Abnormal,Definitely,1,19,0.85,0.9,2,100
71,D0284,P0,Abnormal,18.401,18.401,Abnormal,Definitely,1,20,0.85,0.9,2,100
64,D0115,P0,Normal,196.642,196.642,Abnormal,Probably,0,1,0.6,0.6,2,100
64,D0018,P0,Normal,147.862,147.862,Abnormal,Probably,0,2,0.6,0.6,2,100
64,D0029,P0,Normal,72.621,72.621,Normal,Probably,1,3,0.6,0.6,2,100
64,D0172,P0,Abnormal,56.677,56.677,Abnormal,Definitely,1,4,0.6,0.6,2,100
64,D0118,P0,Normal,245.824,245.824,Abnormal,Definitely,0,5,0.6,0.6,2,100
64,D0286,P0,Abnormal,90.952,90.952,Normal,Probably,0,6,0.6,0.6,2,100
64,D0226,P0,Abnormal,17.545,17.545,Abnormal,Definitely,1,7,0.6,0.6,2,100
64,D0167,P0,Abnormal,87.781,87.781,Abnormal,Definitely,1,8,0.6,0.6,2,100
64,D0114,P0,Normal,65.56,65.56,Normal,Definitely,1,9,0.6,0.6,2,100
64,D0177,P0,Abnormal,98.084,98.084,Normal,Probably,0,10,0.6,0.6,2,100
64,D0330,P0,Abnormal,179.044,179.044,Abnormal,Probably,1,11,0.6,0.6,2,100
64,D0321,P0,Abnormal,27.024,27.024,Abnormal,Probably,1,12,0.6,0.6,2,100
64,D0411,P0,Abnormal,54.475,54.475,Normal,Probably,0,13,0.6,0.6,2,100
64,D0093,P0,Normal,65.024,65.024,Normal,Definitely,1,14,0.6,0.6,2,100
64,D0042,P0,Normal,112.327,112.327,Abnormal,Probably,0,15,0.6,0.6,2,100
64,D0337,P0,Abnormal,89.561,89.561,Abnormal,Probably,1,16,0.6,0.6,2,100
64,D0024,P0,Normal,185.09,185.09,Abnormal,Probably,0,17,0.6,0.6,2,100
64,D0384,P0,Abnormal,33.22,33.22,Abnormal,Definitely,1,18,0.6,0.6,2,100
64,D0373,P0,Abnormal,41.605,41.605,Abnormal,Definitely,1,19,0.6,0.6,2,100
64,D0284,P0,Abnormal,32.07,32.07,Abnormal,Definitely,1,20,0.6,0.6,2,100
60,D0115,P0,Normal,25.556,25.556,Normal,Definitely,1,1,0.6,0.75,2,100
60,D0018,P0,Normal,19.736,19.736,Abnormal,Probably,0,2,0.6,0.75,2,100
60,D0029,P0,Normal,14.144,14.144,Normal,Probably,1,3,0.6,0.75,2,100
60,D0172,P0,Abnormal,10.795,10.795,Abnormal,Definitely,1,4,0.6,0.75,2,100
60,D0118,P0,Normal,40.391,40.391,Normal,Probably,1,5,0.6,0.75,2,100
60,D0286,P0,Abnormal,52.277,52.277,Normal,Definitely,0,6,0.6,0.75,2,100
60,D0226,P0,Abnormal,25.657,25.657,Abnormal,Definitely,1,7,0.6,0.75,2,100
60,D0167,P0,Abnormal,10.416,10.416,Abnormal,Definitely,0,8,0.6,0.75,2,100
60,D0114,P0,Normal,65.901,65.901,Normal,Definitely,1,9,0.6,0.75,2,100
60,D0177,P0,Abnormal,20.059,20.059,Normal,Probably,0,10,0.6,0.75,2,100
60,D0330,P0,Abnormal,13.449,13.449,Abnormal,Definitely,1,11,0.6,0.75,2,100
60,D0321,P0,Abnormal,18.804,18.804,Abnormal,Definitely,1,12,0.6,0.75,2,100
60,D0411,P0,Abnormal,10.474,10.474,Abnormal,Definitely,0,13,0.6,0.75,2,100
60,D0093,P0,Normal,9.371,9.371,Normal,Probably,1,14,0.6,0.75,2,100
60,D0042,P0,Normal,18.226,18.226,Normal,Definitely,1,15,0.6,0.75,2,100
60,D0337,P0,Abnormal,31.421,31.421,Normal,Definitely,0,16,0.6,0.75,2,100
60,D0024,P0,Normal,14.798,14.798,Abnormal,Probably,0,17,0.6,0.75,2,100
60,D0384,P0,Abnormal,9.847,9.847,Abnormal,Definitely,1,18,0.6,0.75,2,100
60,D0373,P0,Abnormal,10.027,10.027,Abnormal,Definitely,0,19,0.6,0.75,2,100
60,D0284,P0,Abnormal,14.823,14.823,Abnormal,Definitely,1,20,0.6,0.75,2,100
69,D0115,P0,Normal,25.53,25.53,Normal,Definitely,1,1,0.8,0.8,2,100
69,D0018,P0,Normal,65.09,65.09,Normal,Probably,1,2,0.8,0.8,2,100
69,D0029,P0,Normal,39.424,39.424,Normal,Probably,1,3,0.8,0.8,2,100
69,D0172,P0,Abnormal,114.456,114.456,Abnormal,Definitely,1,4,0.8,0.8,2,100
69,D0118,P0,Normal,104.451,104.451,Normal,Probably,1,5,0.8,0.8,2,100
69,D0286,P0,Abnormal,37.72,37.72,Normal,Probably,0,6,0.8,0.8,2,100
69,D0226,P0,Abnormal,79.801,79.801,Abnormal,Definitely,1,7,0.8,0.8,2,100
69,D0167,P0,Abnormal,16.559,16.559,Abnormal,Definitely,1,8,0.8,0.8,2,100
69,D0114,P0,Normal,14.74,14.74,Normal,Definitely,1,9,0.8,0.8,2,100
69,D0177,P0,Abnormal,13.75,13.75,Abnormal,Definitely,1,10,0.8,0.8,2,100
69,D0330,P0,Abnormal,29.771,29.771,Abnormal,Definitely,1,11,0.8,0.8,2,100
69,D0321,P0,Abnormal,15.579,15.579,Normal,Probably,0,12,0.8,0.8,2,100
69,D0411,P0,Abnormal,22.69,22.69,Normal,Definitely,0,13,0.8,0.8,2,100
69,D0093,P0,Normal,30.69,30.69,Normal,Probably,1,14,0.8,0.8,2,100
69,D0042,P0,Normal,73.19,73.19,Normal,Probably,1,15,0.8,0.8,2,100
69,D0337,P0,Abnormal,44.048,44.048,Abnormal,Probably,1,16,0.8,0.8,2,100
69,D0024,P0,Normal,329.581,300,Normal,Probably,1,17,0.8,0.8,2,100
69,D0384,P0,Abnormal,49.636,49.636,Normal,Probably,0,18,0.8,0.8,2,100
69,D0373,P0,Abnormal,17.163,17.163,Abnormal,Definitely,1,19,0.8,0.8,2,100
69,D0284,P0,Abnormal,259.884,259.884,Abnormal,Probably,1,20,0.8,0.8,2,100
84,D0115,P0,Normal,4.197,4.197,Abnormal,Probably,0,1,0.65,0.65,2,100
84,D0018,P0,Normal,3.932,3.932,Abnormal,Definitely,0,2,0.65,0.65,2,100
84,D0029,P0,Normal,3.765,3.765,Abnormal,Definitely,0,3,0.65,0.65,2,100
84,D0172,P0,Abnormal,8.754,8.754,Abnormal,Probably,1,4,0.65,0.65,2,100
84,D0118,P0,Normal,4.392,4.392,Normal,Probably,1,5,0.65,0.65,2,100
84,D0286,P0,Abnormal,5.752,5.752,Abnormal,Probably,1,6,0.65,0.65,2,100
84,D0226,P0,Abnormal,5.25,5.25,Abnormal,Probably,1,7,0.65,0.65,2,100
84,D0167,P0,Abnormal,8.016,8.016,Abnormal,Definitely,1,8,0.65,0.65,2,100
84,D0114,P0,Normal,4.537,4.537,Normal,Probably,1,9,0.65,0.65,2,100
84,D0177,P0,Abnormal,4.328,4.328,Abnormal,Probably,1,10,0.65,0.65,2,100
84,D0330,P0,Abnormal,4.237,4.237,Abnormal,Definitely,1,11,0.65,0.65,2,100
84,D0321,P0,Abnormal,13.756,13.756,Normal,Probably,0,12,0.65,0.65,2,100
84,D0411,P0,Abnormal,6.864,6.864,Abnormal,Probably,1,13,0.65,0.65,2,100
84,D0093,P0,Normal,4.932,4.932,Normal,Probably,1,14,0.65,0.65,2,100
84,D0042,P0,Normal,4.034,4.034,Abnormal,Probably,0,15,0.65,0.65,2,100
84,D0337,P0,Abnormal,11.126,11.126,Normal,Probably,0,16,0.65,0.65,2,100
84,D0024,P0,Normal,3.034,3.034,Abnormal,Definitely,0,17,0.65,0.65,2,100
84,D0384,P0,Abnormal,4.181,4.181,Abnormal,Probably,1,18,0.65,0.65,2,100
84,D0373,P0,Abnormal,3.745,3.745,Abnormal,Definitely,1,19,0.65,0.65,2,100
84,D0284,P0,Abnormal,3.87,3.87,Abnormal,Probably,1,20,0.65,0.65,2,100
95,D0115,P0,Normal,6.101,6.101,Normal,Probably,1,1,0.65,0.8,2,100
95,D0018,P0,Normal,12.009,12.009,Normal,Probably,1,2,0.65,0.8,2,100
95,D0029,P0,Normal,7.355,7.355,Normal,Definitely,1,3,0.65,0.8,2,100
95,D0172,P0,Abnormal,5.644,5.644,Normal,Probably,0,4,0.65,0.8,2,100
95,D0118,P0,Normal,7.948,7.948,Normal,Probably,1,5,0.65,0.8,2,100
95,D0286,P0,Abnormal,9.947,9.947,Abnormal,Probably,0,6,0.65,0.8,2,100
95,D0226,P0,Abnormal,5.994,5.994,Abnormal,Definitely,1,7,0.65,0.8,2,100
95,D0167,P0,Abnormal,8.193,8.193,Abnormal,Definitely,1,8,0.65,0.8,2,100
95,D0114,P0,Normal,6.57,6.57,Abnormal,Definitely,0,9,0.65,0.8,2,100
95,D0177,P0,Abnormal,6.878,6.878,Abnormal,Definitely,1,10,0.65,0.8,2,100
95,D0330,P0,Abnormal,10.776,10.776,Abnormal,Definitely,1,11,0.65,0.8,2,100
95,D0321,P0,Abnormal,5.996,5.996,Normal,Probably,0,12,0.65,0.8,2,100
95,D0411,P0,Abnormal,10.599,10.599,Abnormal,Probably,1,13,0.65,0.8,2,100
95,D0093,P0,Normal,7.032,7.032,Normal,Probably,1,14,0.65,0.8,2,100
95,D0042,P0,Normal,5.916,5.916,Normal,Probably,1,15,0.65,0.8,2,100
95,D0337,P0,Abnormal,6.125,6.125,Abnormal,Definitely,0,16,0.65,0.8,2,100
95,D0024,P0,Normal,5.864,5.864,Normal,Probably,1,17,0.65,0.8,2,100
95,D0384,P0,Abnormal,5.616,5.616,Abnormal,Probably,1,18,0.65,0.8,2,100
95,D0373,P0,Abnormal,8.172,8.172,Normal,Probably,0,19,0.65,0.8,2,100
95,D0284,P0,Abnormal,7.072,7.072,Abnormal,Definitely,0,20,0.65,0.8,2,100
68,D0115,P0,Normal,53.893,53.893,Normal,Probably,1,1,0.45,0.55,2,100
68,D0018,P0,Normal,13.156,13.156,Abnormal,Definitely,0,2,0.45,0.55,2,100
68,D0029,P0,Normal,33.93,33.93,Abnormal,Probably,0,3,0.45,0.55,2,100
68,D0172,P0,Abnormal,16.628,16.628,Abnormal,Probably,1,4,0.45,0.55,2,100
68,D0118,P0,Normal,32.603,32.603,Normal,Probably,1,5,0.45,0.55,2,100
68,D0286,P0,Abnormal,11.663,11.663,Normal,Probably,0,6,0.45,0.55,2,100
68,D0226,P0,Abnormal,10.314,10.314,Abnormal,Probably,1,7,0.45,0.55,2,100
68,D0167,P0,Abnormal,29.016,29.016,Normal,Probably,0,8,0.45,0.55,2,100
68,D0114,P0,Normal,20.693,20.693,Normal,Probably,1,9,0.45,0.55,2,100
